# File: experimental-raw-data.txt
# Date: Thu Mar  9 15:44:42 2017
# Author: Nicolas P. Rougier <Nicolas.Rougier@inria.fr>
# Fields: performance	session_id	condition
# condition = 0: Day 1 / Muscimol / 10 firsts
# condition = 1: Day 1 / Muscimol / 10 lasts
# condition = 2: Day 2 / Saline / 10 firsts
# condition = 3: Day 2 / Saline / 10 lasts
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	1
1	0	1
1	0	1
1	0	1
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
0	1	0
0	1	0
1	1	0
0	1	0
1	1	0
0	1	0
0	1	0
1	1	0
1	1	0
1	1	0
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
0	2	0
0	2	0
1	2	0
1	2	0
1	2	0
1	2	0
0	2	0
1	2	0
1	2	0
1	2	0
0	2	1
1	2	1
1	2	1
1	2	1
1	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	0
0	3	1
1	3	1
0	3	1
0	3	1
1	3	1
1	3	1
1	3	1
1	3	1
0	3	1
1	3	1
0	4	0
0	4	0
0	4	0
1	4	0
1	4	0
1	4	0
1	4	0
0	4	0
0	4	0
1	4	0
0	4	1
1	4	1
1	4	1
0	4	1
0	4	1
1	4	1
1	4	1
0	4	1
1	4	1
1	4	1
1	5	0
1	5	0
1	5	0
1	5	0
1	5	0
1	5	0
1	5	0
1	5	0
0	5	0
1	5	0
1	5	1
0	5	1
1	5	1
1	5	1
1	5	1
1	5	1
0	5	1
1	5	1
1	5	1
1	5	1
0	6	0
0	6	0
0	6	0
1	6	0
0	6	0
1	6	0
1	6	0
1	6	0
0	6	0
1	6	0
0	6	1
0	6	1
0	6	1
0	6	1
0	6	1
0	6	1
1	6	1
0	6	1
1	6	1
0	6	1
0	7	0
0	7	0
0	7	0
1	7	0
0	7	0
1	7	0
0	7	0
0	7	0
1	7	0
0	7	0
0	7	1
1	7	1
1	7	1
1	7	1
0	7	1
1	7	1
1	7	1
0	7	1
0	7	1
1	7	1
0	8	0
1	8	0
0	8	0
0	8	0
0	8	0
0	8	0
1	8	0
0	8	0
0	8	0
0	8	0
0	8	1
1	8	1
1	8	1
1	8	1
0	8	1
0	8	1
0	8	1
0	8	1
1	8	1
0	8	1
0	9	0
0	9	0
0	9	0
0	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	1
1	9	1
0	9	1
0	9	1
1	9	1
0	9	1
1	9	1
0	9	1
0	9	1
0	9	1
1	10	0
1	10	0
0	10	0
0	10	0
1	10	0
0	10	0
1	10	0
0	10	0
1	10	0
0	10	0
1	10	1
0	10	1
1	10	1
0	10	1
1	10	1
1	10	1
0	10	1
0	10	1
0	10	1
1	10	1
1	11	0
0	11	0
0	11	0
0	11	0
0	11	0
0	11	0
0	11	0
0	11	0
1	11	0
1	11	0
0	11	1
0	11	1
0	11	1
0	11	1
0	11	1
